Texto,Etiquetado
Demasiado tarde. 2 muertos tarde.,Negativo
Esto debió publicarse hace bastante tiempo y no esperar a que haya sangre,Negativo
A paso de tortuga... Pero para los pagos otro es el escenario!!!,Negativo
"Y el congresista Alarcón se fue de parranda, el que viajo y trajo los fantasmas de los aspirantes a colaboradores eficaces y armo todo esto, este sujeto ni lo investigan",Negativo
Cuando te toca hacer la introducción y te vas en floro... Puro relleno el comunicado de la UPC.,Negativo
Ya parece Merino comunicando a última hora,Negativo
Muy tarde ese comunicado,Negativo
"""La democracia se basa en la libertad de expresión""????????? USTEDES CENSURAN A SUS PROPIOS ALUMNOS! Solo les importa la plata",Negativo
"Jóvenes que recién ingresarán a la universidad. Piénsenla muy bien antes de ingresar a la UPC. Hay millones de alternativas mejores, se los aseguro",Negativo
Muy tarde @upcedu!,Negativo
Cero inmunidad a los políticos corruptos!!!,Negativo
Muy tarde,Negativo
????????,Negativo
Porqué recién se manifiestan?????????? rateros,Negativo
decepcionada de ser estudiante de la upc,Negativo
Demasiado tarde...,Negativo
"QUE CORRAN UNA SEMANA LAS ENTREGAS, HAY GENTE QUE SIGUE EN LA CALLE LUCHANDO!!!!",Negativo
Tibios,Negativo
cero concordancia con sus campañas publicitarias ???????,Negativo
"Por qué esperar hasta este momento, claro como ya murieron jóvenes y ya hay una renuncia de Manuel Merino, este mensaje muestra los intereses de la universidad. Siempre tarde y da mucha lástima.",Negativo
"Universidad pido conciencia, muchos de los protestantes que han desaparecido incluso abusados son compañeros de estudio. Asimismo, el daño mental que nos han hecho pasar estos días por estas injusticias. El ciclo se acaba pero nos afecta todo esto y no podemos ser indiferentes ante esta situación . Porfavor, comprensión",Negativo
#upcnomerepresenta ??,Negativo
@anagonzalezhi han esperado que se fuera Merino para recién pronunciarse. Por qué será?,Negativo
"@x.ca123 amiga esta universidad es una empresa llena de corruptos también ??, y hablan de libertad de expresión pero cuando te pronuncias, te sancionan. Se pasaron de tibios con este comunicado",Negativo
@anagonzalezhi exacto! No podemos decir mucho porque sancionan! Mejor que no comenten mucho,Negativo
broer muy tarde ?????????? vergüenza me da ser de esta universidad,Negativo
Tarde. Una vergüenza.,Negativo
Porqué tan tarde una respuesta??? Donde estuvieron?.,Negativo
"Muy tarde, lamentable",Negativo
Comunicado recién ahora? Un poco tarde para creer en su contenido,Negativo
"Son un chiste, no mencionan la palabra Constitución en todo su comunicado.",Negativo
"Tuvo que haber sangre derramada para que recién se pronuncien, puros oportunistas. Si en verdad pensaran así lo hubieran dicho desde el comienzo, lo único que hacen es quedar peor ??",Negativo
????????,Negativo
??,Negativo
MUY TARDE UPC,Negativo
Que postpongan las entregas !! Todos estamos preocupados por el pais como para estar pensando en terminar los trabajos !! @pispa95,Negativo
TIBIOS,Negativo
??,Negativo
muy tarde UPC ??,Negativo
Cambien el día de la pc . Así nos apoyan ??,Negativo
"Ahora sí, no?!! Muchos upcinos NUNCA olvidaremos esto, el apoyo tardío a nuestro derecho de protestar contra un gobierno corrupto!",Negativo
muy tarde,Negativo
@daythongamonal x2 ????,Positivo
#UPCnomerepresentas,Neutro
Donde esta la empatía con sus alumnos.,Negativo
#AntesDeSerUniveritariaSoyPeruana,Neutro
"Decepcionado de ser estudiante de la upc, 0 empatía con sus alumnos.",Negativo
TARDE,Negativo
RECIÉN SE DESPERTÓ EL COMMUNITY MANAGER?,Negativo
Qué fácil es tomar postura luego de dos asesinatos y múltiples heridos.,Negativo
Muy tarde UPC,Negativo
"Muy tarde, pero para mandar correos sobre la boleta ahi si al toque",Negativo
"Para eso, mejor no sacaban ningún comunicado xd",Negativo
"@no.soy.tu.bichiyal_17 @aeupc ahí estuvimos compa, y ahí seguiremos!",Positivo
Hasta el final compa!,Positivo
Ya. Pero hubiera sido bueno que hubieran respaldado a @aeupc que fue a la marcha desde el día jueves. Eso es manifestar su apoyo de verdad y no ser tibios.,Negativo
Como madre de familia me siento decepcionada de esta universidad,Negativo
????????,Negativo
ESPERABA MÁS,Negativo
"Muy tarde...su “deber” lo tendrían que haber anunciado have días, como lo hizo la @utecuniversidad que ha demostrado vivir por los valores que proclaman. Ustedes no, han sido una decepción como institución educativa. Ahora es muy fácil mostrar apoyo, ahora les conviene mostrar apoyo.",Negativo
"No tomar postura desde el comienzo de todo esto deja mucho de desear de una casa de estudio que quiere considerarse ""seria"". Ahora es fácil subirse al coche cuando ya pasó todo. Todo tibio con ustedes.",Negativo
Un comunicado vacío que no dice nada!,Negativo
Re tibio esto,Negativo
Mal UPC. Demasiado tarde. Palabras vacías,Negativo
"¡Aplacen las clases! ¡Déjenos ser escuchados! No puede ser que sigan dejando trabajos, informes, tareas, exámenes como si no sucedería nada.",Negativo
"Tibio, ah. La UPC no respaldó al Perú cuando más lo necesitaba.
Es una pena...",Negativo
Espero que esto sirva para que el alumnado se de cuenta de lo importante que es tener un centro federado o frente estudiantil. Las universidades no pueden mostrarse tibias antes situaciones de esta naturaleza,Negativo
"brillaste por tu ausencia, upc. Decepción.",Negativo
QUE VERGÜENZA UPC,Negativo
"una vergüenza, su texto no dice nada, esperaba más de ustedes como institución",Negativo
"Siempre tarde, UPC",Negativo
@upcedu da 5 días para poder marchar,Negativo
"No es el pronunciamiento que esperaba de ustedes. ¿Y su empatía con nosotros, sus alumnos?",Negativo
@fabrizio.pinna.19 después de dos muertes,Negativo
@valemaranon lamentablemente,Negativo
@valemaranon,Neutro
Parecen sharikas,Neutro
"Muy tarde llega su pronunciamiento, que decepción !",Negativo
tibios...,Negativo
Como siempre tarde?????,Negativo
"Tibios y tarde!!! Lástima, que decepción!!!!",Negativo
"Cero empatía, tener que llegar a este punto para recién emitir un comunicado. Decepción completa.",Negativo
Muy tarde! Hoy me avergüenzas,Negativo
Me da vergüenza estudiar en esta empresa,Negativo
Hay algo de mensaje en tu floro,Negativo
DE QUE TE SIRVE TANTAS LICENCIAS UPC SI LO QUE MÁS TE FALTA ES CORAZÓN . ME DECEPCIONAS UNA VEZ MÁS,Negativo
Pa eso?,Negativo
@jossivetter COMO SIEMPRE DEMORANDO PARA TODO PERO MENOS PARA COBRAR!,Negativo
@melanyrv ven plata y al toque responden.,Negativo
@melanyrv  @lizzie0106  @mauricio_rubio_v  ptmr unas tortugas con su comunicado!,Negativo
#InnovasPorTuAusencia,Neutro
NO! Demasiado tarde!!! @upcedu me decepciona decirlo como egresada de Derecho de esta casa de estudios,Negativo
"Marcha para que upc reduzca sus pensiones, no son conscientes de toda la crisis económica, reducen su personal, ya no se requiere mantenimiento de las sedes, como van a cobrar igual??",Negativo
@ale_loayza porque no se pronunciaron antes ???? Tiene que pasar una desgracia para que recién se pronuncien,Negativo
@sebastianoosores COBARDES,Negativo
@sebastianoosores ?? ????????,Negativo
@josesvasquezb ??,Neutro
MUY TARDE !,Negativo
No debieron esperar a que se derrame sangre para hacer este comunicado.,Negativo
"NO ME REPRESENTAS, NO SIENTO ORGULLO DE MI CASA DE ESTUDIOS.",Negativo
Siempre poniéndote en el bando que te conviene. Nunca apoyaste desde el inicio. Te hiciste de la vista gorda. Una decepción más UPC.,Negativo
@minombreesjean WE STAN,Neutro
"Ya pero nos vas a dar esta semana de luto o no? Han muerto jóvenes cómo tus estudiantes, hay demasiado por digerir y mucho más protestar. Nada cuesta aplazar el ciclo una semana????",Negativo
ALUCINA que muy tarde upc,Negativo
??,Negativo
Demasiado tarde Upc,Negativo
Todo bien pero no se suspenden las clases???,Negativo
PAYASOS DE MIERDA,Negativo
@jose.ojeda26 Oe jota estudia,Neutro
"@luis.talledo.salazar che, muy tibia la u",Negativo
"Muy decepcionado, DEMASIADO TARDE SE HAN PRONUNCIADO, después de 2 asesinatos",Negativo
"Me parece una falta de respeto este comunicado. De verdad, ustedes solo cobran, no forman",Negativo
@joselynmu_ pensé que se había aplazado para todas las universidades :c,Neutro
@joselynmu_ ????????????,Positivo
"Hay muchos alumnos que están saliendo a marchar,, aplacen las clases 1 semana más.",Negativo
Como siempre la upc dejando en claro que sus fines son netamente lucrativos ????? lamentable,Negativo
NO ESTAN DICIENDO NADA,Negativo
Muy tarde,Negativo
UPC sigues igual,Negativo
respalda a tus alumnos @upcedu @adrihreynoso @anasofiamuniz @sayuriccaballero,Negativo
#ESTOYENCLASESMIENTRASNOSASESINAN,Neutro
TIBIOS!!!!,Negativo
"Tan tarde, UPC, tan tarde.",Negativo
??????,Positivo
#upcbrillasportuausencia,Neutro
NO DICEN NI MIERDA,Negativo
Vergüenza de estudiar en esta empresa.,Negativo
Demasiado tarde UPC,Negativo
????????No recomienden esta cojudez,Negativo
"Siempre tarde, 
pero para cobrar si son muy rápidos !",Negativo
Tibios,Negativo
Tarde. Más empatía con los alumnos que han salido a marchar y también con los que en estos momentos no nos encontramos suficientemente concentrados para entregar trabajos finales preocupados por todo lo que ha pasado en nuestro país.,Negativo
MUY TARDE. NO ES SUFICIENTE.,Negativo
Fábrica de ''profesionales'',Negativo
Ahora sí no? Queremos ver su respaldo NO sancionándonos por nuestros actos políticos. Estoy no ha terminado con la renuncia de Merino.,Negativo
#meduelesupc,Neutro
"Su comunicado da a entender que lo hace porque se siente obligados por sus estudiantes, pero no porque les nace o son sus valores como universidad. Espero que respeten la libertad de expresión cuando critiquen lo clasista y la indignación que genera sus actitudes que toman. Luchen y defiendan la libertad de expresión como universidad y no se sigan escondiendo con miedo a que dañen sus intereses económicos.",Negativo
@diego.angulo06 xd,Neutro
@anthonyxreg despues de la UNMSM na mas te voy a decir xd,Neutro
Hasta que por fin! ??,Negativo
"Libertad de expresión????
Si dices algo malo de la universidad, un poco más y te denuncian",Negativo
@coracristel los comunicado de Sheyla son mil veces mejores que los de la Upc ??,Negativo
@marco.guevaraa tibia no FRÍA INDIFERENTE,Negativo
"@marco.guevaraa creo que es una gran reflexión... nuestra formación ciudadana y política no fue algo que se haya promovido dentro de la UPC. Al menos así lo siento, esto podría llevar a promover la inclusión de una cultura de política dentro de la universidad. Hay mucho por proponer, crear ??",Negativo
@susanlisset_ ??,Positivo
@marco.guevaraa me siento igual. Esperaba un pronunciamiento días antes o en su defecto hoy uno con más convicción y menos tibio,Negativo
@melmejiach totalmente de acuerdo!,Positivo
"Serás mi alma mater, pero realmente qué tibia has sido UPC! Indignante",Negativo
Muy tarde y no dicen nada ??,Negativo
"Un copy paste, sin originalidad y nada de carácter.",Negativo
Cumplo con mi deber cívico pero me es difícil cumplir con mis tareas :( que extiendan los plazos,Negativo
No dice nada.,Negativo
"Upc, los jóvenes estamos saliendo. Que se pospongan una semana las entregas!",Negativo
Mucho texto,Negativo
"Tarde @upcedu . Necesitábamos su posición ayer, no recién ahora.Qué decepción",Negativo
MUY TARDE,Negativo
Tanta letra por las puras!,Negativo
Triste es decir que ni siquiera mi universidad me representa.,Negativo
Que pena que recién se pronuncien,Negativo
@luzmadeleinebtr siempre tarde,Negativo
??,Negativo
Tmr UPC un poco tarde,Negativo
Me decepcionó su actitud frente a este problema!,Negativo
Tarde como siempre,Negativo
"Deben suspender todo 5 días, estamos en entregas finales me parece que todas las carreras y no podemos dar el 100 como siempre, estando en esta situación de crisis",Negativo
RECIÉN? VERGÜENZA,Negativo
Demasiado tarde,Negativo
Upc deberías tomar una postura y hacer un llamado a la calma como institución educativa. Ahora ya no sirve de nada #MeDuelesUPC,Negativo
Me dueles UPC,Negativo
Porlas ese texto,Negativo
@coblentz.a @nagelygrandez,Neutro
Ya era hora oeee,Negativo
"Ni en la pandemia, ni en esta crisis hicieron absolutamente nada para ayudar a sus alumnos.
Pero pedir dinero si son los primeros, a muchos de sus alumnos les da asco en la manera como actúan.",Negativo
@claudiasotelo_14 @yogurt.de.fresaa @beeroids,Neutro
ya brillaste por tu ausencia upc,Negativo
Muy tardeeeeeee,Negativo
"Tarde UPC, tarde!",Negativo
"@upcedu  tu comunicado no dice nada , los alumnos estamos yendo a Marchar y la UPC sigue igual",Negativo
Qué pasó UPC????,Negativo
"Ya era hora no? Pronunciación tardía, me decepcionas UPC??",Negativo
Por favor @upc un poco de reconocimiento,Negativo
"Paren todo por 5 días por favor, hay alumnos marchando",Negativo
UPC respalda a los alumnos comprometidos en la defensa de sus derechos presentes es las marchas.,Negativo
"Recién mi universidad se pronuncia ??? Estamos desde el Jueves gritando y luchando para que no se modifíquelas reforma universitaria, y nos den una educación de Calidad.  Y por una democracia justa. Ya es tarde ????????",Negativo
Tarde.,Negativo
Vergüenza,Negativo
??????????????,Negativo
Ya era hora,Negativo
O sea nada jaja,Negativo
Recién????,Negativo
Respalda a tus alumnos UPC!!!,Negativo
????,Negativo
Espero que así como hablan de democracia y de LIBERTAD DE EXPRESIÓN no traten de amenaran a sus propios alumnos si es que emiten opiniones que a ustedes no les gustan.,Negativo
Qué pena que recién se pronuncien UPC. Veo otras universidades que han alzado la voz por todos! Estoy decepcionada de mi alma mater.,Negativo
Son una vergüenza. Solo les interesa la plata. Felizmente me fui de esa universidad de mierda.,Negativo
@camrosale.s,Neutro
Libertad de expresión?! COMO LA QUE NO HUBO EL CICLO PASADO! Cambien sus normas! Tenemos derecho de decir lo que no nos parece sin que nos amedrenten!,Negativo
PIENSEN EN LOS ALUMNOS QUE ESTAN DANDO LA VIDA POR EL PERÚ!!!! TIBIOS DE MIERDA,Negativo
#UPCBrillasPorTuAusencia,Neutro
@karinpardoh,Neutro
Tibios,Negativo
Siempre tarde Upc,Negativo
Se demoraron la vida ?? para emitir un pronunciamiento,Negativo
@nicolevasquez.s literal,Neutro
@upcedu ponganse los pantalones,Negativo
UN TEXTO QUE NO DICE NADA,Negativo
Tarde,Negativo
"Comò siempre, nunca dices nada.",Negativo
Recién? Esperaron las muertes para pronunciarse? Que se puede esperar es la upc :/,Negativo
Se pasaron de tibios. Ustedes tampoco nos representan. Universidad mediocre.,Negativo
Este comunicado debió haberse emitido hace días.,Negativo
@ferenriquemp ??,Positivo
@upcedu,Neutro
Upc no me representas.,Negativo
No nos dicen nada.,Negativo
??????,Neutro
"El comunicado llega muy tarde, decepcionada por su silencio en estos días",Negativo
QUE TIBIA UPC,Negativo
TIBIOS,Negativo
"Siempre tarde, UPC",Negativo
POSPONGAN LAS ENTREGAS DE TRABAJO!,Negativo
??????????????,Negativo
"Muy tarde, pero gracias supongo",Negativo
@alfonsodpn  ni fue un comunicado con voluntad propia tuvimos que recolectar firmas para que la UPC  tome postura sobre los acontecimientos recientes .,Negativo
@luzann_02 ah...de paso sea.,Neutro
Al parecer solo la muerte de un estudiante les parece suficiente como para lanzar un comunicado,Negativo
??????,Positivo
"Más vale tarde, que nunca. “Gracias UPC exige innova”",Negativo
@carla_ventosilla,Neutro
@jterbullino,Neutro
@___mariagrazia se pasan de ratones,Negativo
@abelfap7 por?,Neutro
@___mariagrazia ya te lo explique x wsp??,Neutro
@abelfap7 @marioalonso_mb,Neutro
"@robles.renzo no solo hay trabajos, también hay exposiciones y examenes, y hay alumnos heridos y desaparecidos, es lo mínimo que puede hacer la universidad",Negativo
@theking_2989 jajajajajajaja fútbol fútbol siempre fútbol,Neutro
@theking_2989 realmente te valió comino el tema que se hablaba aqui,Negativo
@giatrejo jajajaj,Positivo
@robles.renzo si no vas a aportar cállate mejor??,Negativo
@giatrejo JAJAJAJAJ termina tu tarra después vas a marchar como TODOS,Negativo
"@robles.renzo no hablo solo por mi gil, yo ya hice mis deberes pero muchos no, se empatico??",Negativo
"@robles.renzo yo estoy haciendo trabajos y luego yendo a marchar! Me la paso toda la madrugada haciendo trabajos pero si vas a marchar sabes lo desgastante que es! Y todo el desgaste mental que es llegar a tu casa después de ser gaseada y ver imágenes de compatriotas muertos, heridos o desaparecidos y saber que haz podido ser tú!",Neutro
@giatrejo y esperan en terminar todos los trabajaos que dejan desde el incio de clases en las ultimas 2 semanas? Jaja,Negativo
"@giatrejo No es una excusa, bro",Negativo
"@robles.renzo man, estás hablando hvds, cállate pls",Negativo
@onlyjabs ? Dime cuál?,Positivo
"@angiecotrinaa estrés postraumático para algunos, no es fácil ????",Neutro
@giatrejo si te organizas podrás entregar tus trabajos,Neutro
@rapha_ssj ??,Positivo
@robles.renzo leete denuevo y te darás cuenta,Neutro
@onlyjabs ilumíname por favor,Positivo
@robles.renzo ??,Negativo
"@giatrejo concuerdo contigo pero por favor no uses lenguaje inclusivo,  me parece ridiculo usar la x en tus palabras, para eso mejor si alumnos y alumnas",Negativo
"@theking_2989 no sólo existen dos géneros y si a ti te parece ridículo, no lo hagas y no pasa nada. Pero respeta si alguien lo quiere usar, porque nada te cuesta respetar.",Neutro
"@_nuriacastro_ y quien dice que existen más de 2 géneros ? Solo hay 2 y punto, esa es la realidad. Pero bueno debo respetar a esas personas que viven una fantasía",Neutro
Muchxs alumnxs estamos yendo a marchar porfavor pospongan 5 días las entregas!!!,Negativo
@upcedu da 5 días para poder marchar @upcedu,Negativo
@gonzalosl en temas sociales siempre dando ??la universidad,Negativo
tibios de mrd,Negativo
@marcotorres_19 no la tuvieron en pandemia con el cobro d boletas... ahora tampoco. ??,Negativo
Y la empatía con sus alumnos dónde está?,Negativo
@amesteban_ ya pero que pospongan las entregas!!!,Negativo
@silviajani,Neutro
Su tardanza y largo silencio habla más fuerte que cualquier cosa que puedan decir ahora. Profundamente decepcionado de ustedes.,Negativo
"Por fin, UPC me avergüenzas!!!!",Negativo
@upcedu ese comunicado no dice nada,Negativo
Ya era hora ?????????????????????,Negativo
"MUCHO OPINAN, PERO POCO ACTÚAN!!!!!",Negativo
@flor80_romanz,Neutro
NO DICE NADA,Negativo
????,Negativo
Tuvieron que presionarlos para que digan algo. Eso no debió ser.,Negativo
@candee_2.16 @fabianomarparedes @ara.isla,Neutro
@tony.delacruz.144734,Neutro
Orgullo UPC,Positivo
La u ??,Positivo
????,Positivo
????????????,Positivo
Excelentes profesores ??????,Positivo
??,Positivo
#OrgulloUPC! Qué capos!,Positivo
??????????,Positivo
@yuliethatenciorojas  ojalá pronto????????,Positivo
??????,Positivo
????????????,Positivo
Muchas felicidades??????????,Positivo
@miguelangelparedesmejia no es el profe Ronceros? ??,Positivo
@jesusmiguelgonzalesmartinez,Neutro
??????????,Positivo
@benmedc por muchas razones!  Le agregas funcionalidades específicas para las necesidades del Perú. Puedes hacer un equipo mas barato y lo más importante porque así generas empresa y empleo en el sector tecnológico. ??????,Neutro
"@benmedc ahí lo explica, lo hace de manera digital y a un menor costo, lo.cual es muy importante en situación de  crisis cómo esta.",Positivo
@benmedc se llama competencia xd,Neutro
Porqué crear algo que ya existe en diferentes marcas y costos ... ?,Negativo
?????? bravo chicos!,Positivo
Excelente profesor NAMAY ????,Positivo
??????,Positivo
??,Positivo
??????,Positivo
@eveling._ somos ps en la clase de respiración cardiopulmonar ??,Neutro
????,Positivo
??,Positivo
@duaguerrero,Neutro
??????,Positivo
Felicitaciones!!! Que buen proyecto!! ????????,Positivo
????,Positivo
Orgulloso de los #InvestigadoresUPC. ¡Felicitaciones! ????,Positivo
??????,Positivo
??,Positivo
@upcedu donde lo adquiero y cual es su costo,Positivo
"¡Hola, @benmedc! Gracias por esta pregunta. Te comentamos que en esta última versión de Phukuy se incoporó un termómetro corporal láser, un oxímetro, sensores de temperatura y presión ambiental, convirtiéndose en un dispositivo mucho más eficiente por ser integral, económico y digital, ya que, conseguir cada característica de manera independiente podría costarte mucho más. Esperamos haber resuelto tu duda. ??",Positivo
????????????,Positivo
"Felicidades, sigan así! ??????",Positivo
@tony.delacruz.144734 buena!!,Positivo
Y tienen una imagen de ese dispositivo? Una ficha técnica quizas que nos ayude a visualizarlo ?... tengo entendido que el espirometro lo utilizan también para terapias de recuperación... podrían decirme también el costo aproximado de este producto ???? Gracias,Positivo
??????,Positivo
Felicitaciones ????,Positivo
Orgullo upc ??,Positivo
????????,Positivo
Pague un curso hace más de 3 meses no hicieron el curso y aun no me devuelven el dinero PÉSIMO SERVICIO! Tengo mas de 3 meses solicitando el reembolso y nadie me da respuesta,Negativo
@naomihuamanimorales que sea acabe ??,Positivo
????????,Positivo
??,Positivo
??,Positivo
??,Positivo
@vanequisped ¡Por supuesto!,Positivo
@vanequisped ???? será muy próximo,Positivo
Algún momento @paolo.mauro.p @mikevibes24,Neutro
@korin427 espero que sea a lo high school musical ??,Neutro
@jannin_sabrina JAJAJAJA no pidas tanto,Positivo
@korin427  entonces paso xd,Neutro
@giacomoav JAJAJA si se puede @jannin_sabrina,Positivo
@korin427  algún día JAJA,Positivo
Ya falta pocoooooo @fioxy17 .... contando los meses ... Yeyyeyeyeyyeyeyeye,Positivo
@cm_cris30 ????,Neutro
@rosalinda_marcos ????????????,Neutro
Pronto ??,Positivo
Ahí te voy graduación marzo 2020,Positivo
@mgbenitezc ??,Positivo
@leidyzuta_19 @n_martineza algún día,Neutro
@sasharruiz con todo ????????,Positivo
"@wsalazar22 ya quieroooo, con fe y polvo de hadas",Positivo
@flucia28 al parecer sí ?? jajaja,Positivo
@rosario.cuba eres tú?,Positivo
@briamh96 ??,Positivo
??,Positivo
??,Positivo
@paragogz98sb  JAJAJAJ juntos o sino no,Positivo
@juanpabloinar no acabes sin mi,Neutro
@blueblue6713 muy pronto ??????????,Positivo
En algún momento @ethelalalal ???,Neutro
3 años más ????,Neutro
??,Positivo
@chrisuri11 Falta poco hermano??,Neutro
@chrisuri11 siiii y lo vamos a disfrutar ????,Positivo
@astridkarolinabn @christiancadenasb @mario.alcazar.359 ya falta poco para el día ????,Positivo
@anaidvv97 pronto pronto ????????,Positivo
@anaidvv97 pronto amigui,Positivo
@joooiz @paulaisabel.t,Neutro
??????,Positivo
A una par de meses de iniciar la titulación ?? el mejor recuerdo la ceremonia ?,Positivo
???????????? @curvasazules,Positivo
Felicitaciones a todos,Positivo
"Cada vez más cerca, con Fe !! ??",Positivo
????????,Positivo
Me recuerda mi graduacion 2015,Positivo
Falta poco????,Positivo
Genial iniciativa!??,Positivo
Es que la UPC es lo máximo!!!! ??@upc,Positivo
??,Positivo
??,Positivo
Orgullo??,Positivo
Que lindo apoyo!! @upcedu ??????,Positivo
Muchos egresados de la carrera de medicina se los agradecemos! #upcproud,Positivo
@berealmonacid retírate de la u pues si no puedes pagar,Negativo
@stebangram_1 sólo mencionó lo que considero justo para los alumnos. Que fácil es decir eso. Falta de empatía es la que tienes!,Negativo
Yo me retire pero te comento que uno de las opciones es el descuento de 30% si lo requieres,Neutro
Ayuda UPC solo fracciona el monto de la mensualidad. Lo que necesitamos es que hagan el descuento del 20% por lo menos ya que no hacemos el uso de las instalaciones.,Negativo
Que bueno! Sigan en más producción!,Positivo
????????,Positivo
Los alumnos de ingeniería colaboraron?,Positivo
??,Positivo
??????,Positivo
??,Positivo
"Que orgullo, gracias!",Positivo
????,Positivo
@_lapalacios creo que es la sede de Monterrico,Neutro
En que sede se encuentra el laboratorio?,Positivo
????????,Positivo
??,Positivo
"Mas falso, solo te dicen que no te aplicara moras nada mas , ni 50 soles d descuento nadaaa",Negativo
Excelente #orgulloupc,Positivo
Orgullo ????,Positivo
??????????????,Positivo
Excelente ?!,Positivo
@ahilbck eles são engenheiros indústriais,Neutro
¡Perfecto! ? Excelente colaboración para una institución que tanto lo requiere en estos momentos. Es un gran orgullo que la universidad de la que egresé realice tal acto ??,Positivo
Buen aporte. También deben de preocuparse por hacer descuentos en las boletas ya que solo se están llevando clases virtuales. Sin embargo UPC sigue emitiendo las boletas de forma normal. Estamos en una gran crisis económica a nivel mundial hay que ser justos,Positivo
Excelente ayuda. Felicitaciones. Aclasesvirtuales les agradece su apoyo a los enfermeros. Sigan adelante.,Positivo
Que lindo ???????????? aplausos pars uds. Por su gran ayuda ??,Positivo
Enhorabuena ??????,Positivo
Que bajen las pensiones!,Negativo
@jciezaa,Neutro
"Gracias por su apoyo, y gran esfuerzo poniendo el hombro en momentos tan duros como este. Gracias a todo el equipo",Positivo
Espero que los que comenten por este medio contra la UPC y estudian en la upc no nos manden su carta tonta de diciplina asi silencian a la gente,Negativo
@joseadriano95,Neutro
"Ojalá así se preocuparan de sus alumnos , los siguen explotando",Negativo
Felicitaciones...hacen bien upc en apoyar a la primera línea de contención del Coronavirus.,Positivo
Gran iniciativa! Sería bueno que los alumnos también participen,Positivo
Sigan así ??????,Positivo
????????,Positivo
?? Esoooo,Positivo
??,Positivo
????,Positivo
Lo máximo UPC ??,Positivo
UPC??,Positivo
??,Positivo
??????,Positivo
Reconocimiento total ????,Positivo
Que orgullo UPECINO??,Positivo
Hola buenas tardes me pueden indicar el precio de los protectores faciales quiero comprar 20,Positivo
Orgullo Upc ??,Positivo
??????,Positivo
?? Gran trabajo @upcedu,Positivo
Orgullo??,Positivo
???????? @marietlizano,Positivo
@kinberlin97 se realizarán dos entregas más. ?? Ya les iremos contando.,Positivo
Ojalá sigan más aportes como este,Positivo
"Enserio ?? V: muy tarde papi ya me fui :( Jajajja  pero la sede de San Miguel es chiquita donde van a entrar V: por cierto no todas son chicas de nutricion , tambn hay muchachos ?????? relax nms",Negativo
POR QUE NO PONEN TRADUCCIONNNNNNNNN E INTERPRETACION :(,Negativo
@favcad23 gracias por el dato primate ??,Positivo
@alexanderv_1303 atento a la jugada primate ????,Neutro
@nataly_zv25 cámbiate!,Negativo
@adriana_vasquez175 interesante,Positivo
@_ellenbernal_ somos upc? Ajajajajjajajajajaaja,Positivo
@bigtor_17 ptm misma webada irme a san miguel,Negativo
@ismael.laos tu casa es más grande que esa sede creo,Negativo
@daviddellarocca @ismael.laos  no se cambien oe,Negativo
@greciagervacio JAJAJAJAJA AWANTA,Neutro
@val.pinto23 es una señalllll,Neutro
La carrera de traduccion en villa tambn seria bueno,Neutro
Para cuando terapia fisica en san miguel ????????,Positivo
"@valosc06 no amiga , creo que es para primeros ciclos :(",Neutro
@dixiebutter  te cambiaras de sede???,Positivo
?? más gente ...MY GOSH!!!,Negativo
@andres_davila97 !!!!!!!,Neutro
@valeria3273 bb miraaa,Neutro
@rodrigo8rb BIEEN CSM,Positivo
Para cuando en Monterrico?,Positivo
No se matriculen es una trampa ??,Negativo
a sufrir con los estacionamientos de nuevo  T_T,Negativo
@luciapasapera no soy jajaja,Neutro
@menendez_00 habla nos pasamos los dos en 2021 ??,Positivo
En serio?? +??,Positivo
"@franciscomeneses11 JAJAJA no hay formaa, yo me quedo en villaaa????",Positivo
@aleegiurfa  amen ???? JAJAJAJA,Positivo
@aleegiurfa  JAJAJA cambio? ??,Positivo
Pa cuando medicina en MO?,Positivo
@alonsoalvarezw agggg,Negativo
@lyxnivanx  cómo es?,Positivo
@_andreabenites jajajajajaba igual jamás hubiera querido ir a san Mickey,Negativo
@alejandra_carbonel,Neutro
??,Positivo
:) ok,Positivo
@grisell2701,Neutro
"Ya hay sobrepoblación en su ratonera y quieren meter más gente?! Dónde van a entrar, en el sótano?",Negativo
@joaquincamborda estos payasos creen que no tendrán que venir a Villa pes jajaja ni lab hay ahi ??,Negativo
????,Positivo
@mariadnadp la ptmr,Negativo
@isabelrequejo121  xd muy tarde creo,Negativo
@angycastt kheeeeeeee,Neutro
@isa.bel01  KHE,Neutro
@flor_vigo oh my goooooddd,Neutro
@marelissaa,Neutro
Ya no hay espacio,Negativo
??que bueno,Positivo
Aea mongol,Neutro
??????,Positivo
@stephanie.madueno nos timaron,Negativo
@noeliaurquizo y tradu?,Negativo
"Si esa sede tuviera igual de espacio que la de villa sobrado entran pero no ps, esta sede ya esta llena , deberian ampliarla ????????",Negativo
"¿Para cuando Artes Escénicas en Monterrico?, :(",Positivo
@nickipalacios_p,Neutro
Felicidades,Positivo
Me gustaría que la UPC tenga una sede en Los Olivos ??????,Positivo
Por qué no Medicina en algunas de los otros campus?:(,Negativo
Para cuándo ponen economía en San Miguel?,Positivo
"Deberían reducir la cantidad de alumnos por carrera.. Demasiado, aunque están construyendo el 8vo piso seguirá saturado.",Negativo
